timestamp;wipingCmd;WiperMotorAngle;WiperMotorSpeed;wiperMotorLowSpeedOut;wiperMotorHighSpeedOut;Wiping_HMI_rqst;wiperParkStatusIn;wiperParkStatusOut;wiperMotorLowSpeed;Digital_WiperHi;Digital_WiperLo;bWiperMotorLowSpeed;WiperMotorHighSpeed
595;;52.560.000;;;;;;;;;;;
597;;52.920.000;;;;;;;;;;;
599;;53.280.000;;;;5;;;0;;;;
601;;53.640.000;;0;;;;;;;;;
603;;54.000.000;0.000000;;;;;;;;;;
999;;;;;;3;;;;;;;
1099;;;;;;4;;;;;1;;
1199;;;;;;;;;1;;;1;
1201;;;;1;;;;;;;;;
1203;;;30.000.000;;;;;;;;;;
1205;;54.360.000;;;;;;;;;;;
1207;;54.720.000;;;;;;;;;;;
1209;;55.080.000;;;;;;;;;;;
1211;;55.440.000;;;;;;;;;;;
1213;;55.800.000;;;;;;;;;;;
1215;;56.160.000;;;;;;;;;;;
1217;;56.520.000;;;;;;;;;;;
1219;;56.880.000;;;;;;;;;;;
1221;;57.240.000;;;;;;;;;;;
1223;;57.600.000;;;;;;;;;;;
1225;;57.960.000;;;;;;;;;;;
1227;;58.320.000;;;;;;;;;;;
1229;;58.680.000;;;;;;;;;;;
1231;;59.040.000;;;;;;;;;;;
1233;;59.400.000;;;;;;;;;;;
1235;;59.760.000;;;;;;;;;;;
1237;;60.120.000;;;;;;;;;;;
1239;;60.480.000;;;;;;;;;;;
1241;;60.840.000;;;;;;;;;;;
1243;;61.200.000;;;;;;;;;;;
1245;;61.560.000;;;;;;;;;;;
1247;;61.920.000;;;;;;;;;;;
1249;;62.280.000;;;;;;;;;;;
1251;;62.640.000;;;;;;;;;;;
1253;;63.000.000;;;;;;;;;;;
1255;;63.360.000;;;;;;;;;;;
1257;;63.720.000;;;;;;;;;;;
1259;;64.080.000;;;;;;;;;;;
1261;;64.440.000;;;;;;;;;;;
1263;;64.800.000;;;;;;;;;;;
1265;;65.160.000;;;;;;;;;;;
1267;;65.520.000;;;;;;;;;;;
1269;;65.880.000;;;;;;;;;;;
1271;;66.240.000;;;;;;;;;;;
1273;;66.600.000;;;;;;;;;;;
1275;;66.960.000;;;;;;;;;;;
1277;;67.320.000;;;;;;;;;;;
1279;;67.680.000;;;;;;;;;;;
1281;;68.040.000;;;;;;;;;;;
1283;;68.400.000;;;;;;;;;;;
1285;;68.760.000;;;;;;;;;;;
1287;;69.120.000;;;;;;;;;;;
1289;;69.480.000;;;;;;;;;;;
1291;;69.840.000;;;;;;;;;;;
1293;;70.200.000;;;;;;;;;;;
1295;;70.560.000;;;;;;;;;;;
1297;;70.920.000;;;;;;;;;;;
1299;;71.280.000;;;;;;;;;;;
1301;;71.640.000;;;;;;;;;;;
1303;;72.000.000;;;;;;;;;;;
1305;;72.360.000;;;;;;;;;;;
1307;;72.720.000;;;;;;;;;;;
1309;;73.080.000;;;;;;;;;;;
1311;;73.440.000;;;;;;;;;;;
1313;;73.800.000;;;;;;;;;;;
1315;;74.160.000;;;;;;;;;;;
1317;;74.520.000;;;;;;;;;;;
1319;;74.880.000;;;;;;;;;;;
1321;;75.240.000;;;;;;;;;;;
1323;;75.600.000;;;;;;;;;;;
1325;;75.960.000;;;;;;;;;;;
1327;;76.320.000;;;;;;;;;;;
1329;;76.680.000;;;;;;;;;;;
1331;;77.040.000;;;;;;;;;;;
1333;;77.400.000;;;;;;;;;;;
1335;;77.760.000;;;;;;;;;;;
1337;;78.120.000;;;;;;;;;;;
1339;;78.480.000;;;;;;;;;;;
1341;;78.840.000;;;;;;;;;;;
1343;;79.200.000;;;;;;;;;;;
1345;;79.560.000;;;;;;;;;;;
1347;;79.920.000;;;;;;;;;;;
1349;;80.280.000;;;;;;;;;;;
1351;;80.640.000;;;;;;;;;;;
1353;;81.000.000;;;;;;;;;;;
1355;;81.360.000;;;;;;;;;;;
1357;;81.720.000;;;;;;;;;;;
1359;;82.080.000;;;;;;;;;;;
1361;;82.440.000;;;;;;;;;;;
1363;;82.800.000;;;;;;;;;;;
1365;;83.160.000;;;;;;;;;;;
1367;;83.520.000;;;;;;;;;;;
1369;;83.880.000;;;;;;;;;;;
1371;;84.240.000;;;;;;;;;;;
1373;;84.600.000;;;;;;;;;;;
1375;;84.960.000;;;;;;;;;;;
1377;;85.320.000;;;;;;;;;;;
1379;;85.680.000;;;;;;;;;;;
1381;;86.040.000;;;;;;;;;;;
1383;;86.400.000;;;;;;;;;;;
1385;;86.760.000;;;;;;;;;;;
1387;;87.120.000;;;;;;;;;;;
1389;;87.480.000;;;;;;;;;;;
1391;;87.840.000;;;;;;;;;;;
1393;;88.200.000;;;;;;;;;;;
1395;;88.560.000;;;;;;;;;;;
1397;;88.920.000;;;;;;;;;;;
1399;;89.280.000;;;;5;;;;;;;
1401;;89.640.000;;;;;;;;;;;
1403;;90.000.000;;;;;;;;;;;
1405;;90.360.000;;;;;;;;;;;
1407;;90.720.000;;;;;;;;;;;
1409;;91.080.000;;;;;;;;;;;
1411;;91.440.000;;;;;;;;;;;
1413;;91.800.000;;;;;;;;;;;
1415;;92.160.000;;;;;;;;;;;
1417;;92.520.000;;;;;;;;;;;
1419;;92.880.000;;;;;;;;;;;
1421;;93.240.000;;;;;;;;;;;
1423;;93.600.000;;;;;;;;;;;
1425;;93.960.000;;;;;;;;;;;
1427;;94.320.000;;;;;;;;;;;
1429;;94.680.000;;;;;;;;;;;
1431;;95.040.000;;;;;;;;;;;
1433;;95.400.000;;;;;;;;;;;
1435;;95.760.000;;;;;;;;;;;
1437;;96.120.000;;;;;;;;;;;
1439;;96.480.000;;;;;;;;;;;
1441;;96.840.000;;;;;;;;;;;
1443;;97.200.000;;;;;;;;;;;
1445;;97.560.000;;;;;;;;;;;
1447;;97.920.000;;;;;;;;;;;
1449;;98.280.000;;;;;;;;;;;
1451;;98.640.000;;;;;;;;;;;
1453;;99.000.000;;;;;;;;;;;
1455;;99.360.000;;;;;;;;;;;
1457;;99.720.000;;;;;;;;;;;
1459;;100.080.000;;;;;;;;;;;
1461;;100.440.000;;;;;;;;;;;
1463;;100.800.000;;;;;;;;;;;
1465;;101.160.000;;;;;;;;;;;
1467;;101.520.000;;;;;;;;;;;
1469;;101.880.000;;;;;;;;;;;
1471;;102.240.000;;;;;;;;;;;
1473;;102.600.000;;;;;;;;;;;
1475;;102.960.000;;;;;;;;;;;
1477;;103.320.000;;;;;;;;;;;
1479;;103.680.000;;;;;;;;;;;
1481;;104.040.000;;;;;;;;;;;
1483;;104.400.000;;;;;;;;;;;
1485;;104.760.000;;;;;;;;;;;
1487;;105.120.000;;;;;;;;;;;
1489;;105.480.000;;;;;;;;;;;
1491;;105.840.000;;;;;;;;;;;
1493;;106.200.000;;;;;;;;;;;
1495;;106.560.000;;;;;;;;;;;
1497;;106.920.000;;;;;;;;;;;
1499;;107.280.000;;;;;;;;;0;;
1501;;107.640.000;;;;;;;;;;;
1503;;108.000.000;;;;;;;;;;;
1505;;108.360.000;;;;;;;;;;;
1507;;108.720.000;;;;;;;;;;;
1509;;109.080.000;;;;;;;;;;;
1511;;109.440.000;;;;;;;;;;;
1513;;109.800.000;;;;;;;;;;;
1515;;110.160.000;;;;;;;;;;;
1517;;110.520.000;;;;;;;;;;;
1519;;110.880.000;;;;;;;;;;;
1521;;111.240.000;;;;;;;;;;;
1523;;111.600.000;;;;;;;;;;;
1525;;111.960.000;;;;;;;;;;;
1527;;112.320.000;;;;;;;;;;;
1529;;112.680.000;;;;;;;;;;;
1531;;113.040.000;;;;;;;;;;;
1533;;113.400.000;;;;;;;;;;;
1535;;113.760.000;;;;;;;;;;;
1537;;114.120.000;;;;;;;;;;;
1539;;114.480.000;;;;;;;;;;;
1541;;114.840.000;;;;;;;;;;;
1543;;115.200.000;;;;;;;;;;;
1545;;115.560.000;;;;;;;;;;;
1547;;115.920.000;;;;;;;;;;;
1549;;116.280.000;;;;;;;;;;;
1551;;116.640.000;;;;;;;;;;;
1553;;117.000.000;;;;;;;;;;;
1555;;117.360.000;;;;;;;;;;;
1557;;117.720.000;;;;;;;;;;;
1559;;118.080.000;;;;;;;;;;;
1561;;118.440.000;;;;;;;;;;;
1563;;118.800.000;;;;;;;;;;;
1565;;119.160.000;;;;;;;;;;;
1567;;119.520.000;;;;;;;;;;;
1569;;119.880.000;;;;;;;;;;;
1571;;120.240.000;;;;;;;;;;;
1573;;120.600.000;;;;;;;;;;;
1575;;120.960.000;;;;;;;;;;;
1577;;121.320.000;;;;;;;;;;;
1579;;121.680.000;;;;;;;;;;;
